87.6757,98.235,-98.1298
87.6242,97.5159,-97.3763
76.8114,-2.61693,0.157634
78.1408,-2.30204,-0.0507126
78.5134,-2.41486,0.0676179
79.3045,-2.57978,0.194418
79.6483,-2.50047,0.144708
80.3479,-2.66915,0.354724
80.8838,-2.76152,0.460475
81.2223,-2.96425,0.632911
81.4609,-2.9002,0.588459
81.6249,-3.00095,0.695017
82.1025,-3.114,0.846221
82.6781,-3.12283,0.880602
83.2581,-3.5786,1.33833
83.812,-3.90286,1.63863
84.2892,-3.89274,1.66981
84.6483,-4.34168,2.11025
85.3721,-5.19585,2.95941
85.7067,-5.8145,3.59285
86.529,-6.92323,4.70412
87.1002,-8.74733,6.54865
87.4598,-9.87621,7.6853
87.8004,-11.0718,8.89162
88.1619,-13.0412,10.8757
88.4877,-16.6155,14.4583
88.8967,-22.933,20.8006
89.609,-90.9699,88.7188
89.0525,-155.289,153.061
88.4295,-162.565,160.353
88.1119,-168.183,165.958
87.577,-171.251,169.005
86.9571,-172.766,170.546
86.4753,-172.823,170.86
86.1762,-172.473,170.546
85.3589,-175.684,173.532
84.8332,-176.028,173.861
84.621,-175.655,173.717
84.023,-176.681,174.548
83.6583,-176.481,174.536
83.2204,-176.515,174.586
82.8674,-176.505,174.585
82.4812,-176.724,174.79
81.6386,-177.372,175.451
80.97,-177.52,175.447
80.4408,-177.424,175.336
80.1343,-177.22,175.353
79.2803,-178.029,176.022
78.5109,-178.124,176.108
77.8365,-178.175,176.144
77.1824,-178.274,176.301
76.759,-178.26,176.27
76.4376,-178.202,176.465
75.7674,-178.295,176.605
73.981,-178.548,176.637
73.0858,-178.641,176.787
72.18,-178.719,176.886
71.3735,-178.774,176.958
70.8187,-178.744,176.922
70.0096,-178.591,177.069
68.6825,-178.713,176.958
67.6558,-178.719,177.014
66.865,-178.571,177.172
65.9241,-178.591,177.014
65.3658,-178.45,177.182
64.8866,-178.242,177.052
64.1725,-178.265,177.111
62.989,-178.389,177.275
62.4183,-178.398,177.333
61.3517,-178.422,177.366
59.9013,-178.429,177.431
58.7795,-178.405,177.472
57.9077,-178.563,177.664
57.2928,-178.557,177.688
56.0578,-178.502,177.67
55.3533,-178.49,177.697
53.6628,-178.549,177.823
52.3683,-178.705,178.06
51.5965,-178.685,178.053
50.7623,-178.722,178.135
48.825,-178.802,178.318
47.834,-178.825,178.403
46.8597,-178.948,178.554
45.9809,-178.923,178.547
45.0999,-178.891,178.564
44.1237,-178.834,178.571
42.0085,-178.917,178.737
38.469,-178.906,178.901
37.5043,-178.978,178.982
36.7717,-178.954,179.005
35.5594,-178.955,179.061
34.7991,-179.114,179.215
33.7286,-179.097,179.248
32.8295,-179.094,179.276
32.2567,-179.056,179.27
31.2965,-179.098,179.34
30.37,-179.088,179.356
28.6179,-179.121,179.478
27.2573,-179.126,179.569
25.9678,-179.224,179.389
25.1286,-179.188,179.415
24.1346,-179.21,179.786
23.2234,-179.213,179.841
22.1023,-179.444,179.914
21.177,-179.21,179.919
20.4938,-179.081,179.826
19.3455,-179.858,-179.958
18.8443,-179.121,179.974
17.6379,-179.759,-179.655
16.1579,-179.858,-179.787
15.0792,-179.651,-179.622
13.329,-179.79,-179.779
12.1344,-179.751,-179.759
10.9727,-179.79,-179.666
9.01206,-179.835,-179.575
7.3413,-179.558,-179.519
6.35887,-179.504,-179.489
5.64327,-179.488,-179.373
4.25523,-179.553,-179.598
3.14203,-179.531,-179.572
2.76538,-179.068,-179.51
1.19182,-178.869,-179.437
